No.0:國家圖書館古籍服務實務研究, ['古籍', '國家圖書館', '國內', '部門', '服務', '實務', '圖書館', '讀者服務', '狀況', '內心', '勾勒出', '古籍管理', '古籍資源', '挖掘', '深入性', '渴望', '珍稀', '眼前', '推廣', '整理']
No.105:以ARCS動機模式分析大學生圖書館利用教育之學習動機, ['圖書館利用教育', '動機', '學習動機', 'arcs動機模式', '學生', 'arcs', '參與', '利用', '圖書館', '反應', '圖書館利用', '課程', '大學生', 'keller', '入門', '指摽', '參與', '模式', '報名', '教育']
No.106:台北市年長者之健康資訊需求與資訊尋求行為, ['健康資訊', '年長者', '健康', '合適', '醫療', '圖書館', '需求', '讀者', '資訊尋求行為', '單位', '專業', '尋找', '資訊需求', '出版', '服務', '提供', '建議', 'gerontology', '保健', '可靠性']
No.107:實踐大學建築設計學系學生之資訊行為研究, ['建築', '建築系學生', '學系', '學生', '實踐大學', '資訊行為', '書店', '課程', '設計', '資訊需求', '重視', '資訊', '尋求', '提供', '具有', '問卷法', '建築學', '書店利用', '樣本書', '網路利用']
No.108:大學生圖書館焦慮情形與電腦態度之關係－以輔仁大學大學部學生為例, ['圖書館焦慮', '電腦態度', '大學生', '電腦', '圖書館使用', '層面', '變項', '程度', '使用', '性別', '障礙', '資料', '顯著', '情形', '訪談', '觀察', '輔仁大學', '中等', '統計性', '目的']
No.109:台灣一人圖書館員工作特性之研究, ['一人圖書館員', '一人圖書館', '工作特性', '工作', '小型', '業務', '面臨', '圖書館', '問題', '孤立', '其他', '作業', '管理', '部分', '獨立', '能力', '回饋', '期間', '個人', '國內']
No.110:學生參與圖書館服務學習之動機與觀感, ['阻礙因素', '服務學習', '學生', '參與動機', '觀感', '專業成長', '阻礙', '志願服務', '參與', '質性', '依序為', '同意', '動機', '人際關係', '方面', '活動', '經驗', '蒐集', '圖書館服務', '技能']
No.111:基於自動分類為基礎的圖書題名特徵擷取之研究-以輔助圖書分類系統為例, ['題名', '圖書', '文件自動分類', '欄位', '圖書書目', '特徵擷取', '書目', '成效', '輔助', '作者', '擴展', '特徵', '文件', '策略', '資訊', '分類', '進行', '特徵擴展', '負載量', '表徵']
No.112:從使用者觀點探討公共圖書館休閒角色之研究-以新店市立圖書館為例, ['休閒', '休閒活動', '圖書館', '民眾', '利用', '公共圖書館', '休閒角色', '使用者', '功能', '新店', '止於', '因素', '場所', '市立', '影響因素', '動機', '同時', '文化', '資源', '效益']
No.113:職業婦女的學習需求與公共圖書館使用之研究, ['職業婦女', '學習需求', '公共圖書館', '婦女', '終身學習', '取樣', '學習', '工作', '設備', '機構', '滿足', '服務', '推廣活動', '語文', '課程', '使用', '部份', '結論', '相關', '一般']
No.114:數位典藏庫中資料分群產生之研究-以數位學習詮釋資料為例, ['分群', '群集分析', '典藏', '數位典藏', '數位學習', 'scorm', '素材', '資料', '學習', '自動', '資料庫', '流程', '所有', 'analysis', 'cluster', 'lom', 'vsm', 'xslt', '一個個', '呈現給']
No.115:《古今圖書集成‧經籍典》體制研究, ['集成', '經籍典', '類書', '體式', '書目', '緯目', '編纂', '清初', '纂輯', '結構', '編制', '體制', '形式', '古今圖書集成', '梳理', '輯錄', '文獻', '作用', '康熙', '考察']
No.116:提升主題檢索成效機制之研究, ['排序', '文件', '團隊', '機制', '檢索', 'ntcir', '會議', '成效', '提升', 'prf', '參賽', '查詢擴展', '最佳', '效能', '技術', '實驗', '有效', '說明', 'hkpu', 'i2r']
No.117:圖書資訊利用學習活動與國小學生主題探索之研究, ['圖書資訊', '學習', '主題式', '學生', '活動', '主題', '觀察', '利用', '資訊尋求行為', '探索', '進步', '技能', '方式', '主題式探索', '國小教育', '相關', '能力', '二十一世紀', '世代', '單元']
No.118:參考館員使用新聞資源之研究, ['新聞', '參考館員', '解答', '閱聽', '全文', '報紙', '資源', '參考服務', '知識', '新聞資料庫', '使用', '檢索', '豐富', '問題', '新知', '參考問題', '資料庫', '增進', '事件', '取得']
No.119:台灣OCLC會員館參與WorldCat建置之研究, ['會員館', 'oclc', '書目', 'cat', 'world', '編目', '上傳', 'worldcat', '下載', '我國', '會員', '圖書館', '館際互借', '參考服務', '參與', '國內', '價格', '建置', '書目供應中心', '監管']
No.120:線上參考服務館員人際溝通技巧之研究, ['線上參考服務', '人際溝通技巧', '參考服務', '溝通', '館員', '人際', '即時', '課程', '參考館員', '讀者', '媒介', '接受', '進行', '訓練', '教育', '建議', '系所', '自我', '線上', '重要性']
No.121:明清譯書書目之研究, ['譯書', '書目', '中國古典目錄', '西學', '明清時期', '中國', '編纂', '中西', '體例', '歷史', '學術', '交流', '理解', '內容', '分類', '思想', '目錄學', '脈絡', '著錄', '發展']
No.122:以自由/開放原始碼軟體（FLOSS）探討圖書館桌面電腦的使用滿意度, ['開放原始碼', '桌面', '自由', '軟體', '電腦', '使用者滿意度', 'floss', '圖書館桌面電腦', '使用滿意度', '參考', '圖書館', '2樓', '列入', '各別', '直線', '自由軟體', '開發者', '推廣', '不久', '差別']
No.123:以引用文獻分析探討醫學院教師資訊需求與館藏支援程度, ['期刊', '著作', '教師', '醫學院', '引用文獻', '引用', '發表', '館藏支援', '引用文獻分析', '論文', '學術', '輔仁大學', '共計', '輔大', '收藏', '圖書館', '撰寫', '英文', '館藏', '核心']
No.124:公共圖書館讀者旅遊資訊需求與資訊尋求行為之分析, ['旅遊資訊', '旅遊', '讀者', '公共圖書館', '資源', '臺北市立圖書館', '資訊尋求行為', '需求', '適當', '資訊需求', '國內外', '可得性', '派駐', '讀者群', '區隔', '熟悉度', '取得', '成人讀者', '館藏', '面臨到']
No.125:公共衛生領域研究生使用政府統計資訊之研究, ['統計', '政府統計資訊', '政府', '公共衛生', '使用', '數據', '資料', '久遠', '研究生', '困難', '衛生', '多數', '詳細', '資源', '網站', '領域', '選擇', '國外', '需要', '搜尋']
No.126:台灣地區圖書館中文書目資源共享實施現況與問題之探討--以全國圖書書目資訊網為例, ['合作館', '書目資訊中心', '書目', '書號', 'cip', '資源共享', '紀錄', '中心', '編目', '書目紀錄品質控制', '中文', '問題', '轉入', 'nbinet', '作業', '遭遇', '人為', '全國圖書書目資訊網', '抄錄編目', '現況']
No.127:中國古典目錄體制「提要」之研究, ['提要', '中國古典目錄', '解題', '敘錄', '書目提要', '體制', '學術', '撰寫', '中國古典書目', '四庫全書總目提要', '工具性', '直齋書錄', '著者', '文史', '稱為', '中國', '優良', '學習者', '目錄學', '傳統']
No.128:從圖書資訊學課程探討醫學圖書館員之正規教育, ['醫學資訊', '醫學圖書館', '課程', '大陸', '美國地區', '圖書資訊學', '地區', '系所', '正規教育', '臺灣', '人員', '中國', '培育', '素質', '開設', '專業', '直接', '圖書館服務', '資訊科技', '品質']
No.129:大學圖書館館員對圖書館行銷策略態度之研究, ['行銷', '圖書館行銷', '大學圖書館館員', '策略', '行銷策略', '態度', '整體性', '人才', '統籌', '支持', '推廣', '大學圖書館', '產品', '部門', '設置', '增進', '作法', '活動', '運作', '圖書館']
No.130:概念性類別標題詞自動擷取的評估, ['標題詞', '知識庫', '類別', '文件', '上位詞', '概念性', '自動', 'ctc', 'fju', '文件歸類', '特徵詞', 'document', 'reuters', '專利', '約為', '階層式', '國科會', '適切', '新聞', '英文']
No.131:醫學系學生MEDLINE醫學資料庫之使用研究, ['問題導向式學習課程', 'medline', '醫學資料庫', '學生', '醫學系學生', '課程', '教育', '技能', '資訊檢索', '電子期刊', '圖書館利用教育', '利用', '醫學', '檢索', '自我', '醫學院', '資料庫', '參加', '圖書館', '大學']
No.132:台灣與美國地區醫學校院圖書館網站內容與設計分析之研究, ['醫學校院', '圖書館網站', '美國', '內容與設計', '國內', '資訊網', '可用性', '項目', '網站', '對象', '整理', '醫學', '為主', '設計', '服務', '扮演', 'pubmed', '單純化', '報導', '數量化']
No.133:個人化知識表徵瀏覽模型, ['個人化', '瀏覽', '檢索', '主題地圖', '搜尋', '網路', '內容', '截取', '知識表徵', '使用者', '關連性', '資訊', '搜尋到', '龐大', '單純', '真實', '組織', '搜尋引擎', '數位化', '面對']
No.134:中美圖書分類法研訂機制與應用系統之比較研究, ['研訂', '修訂', '中國圖書分類法', '研訂機制', '圖書分類法', 'ddc', 'lcc', '中美', '應用', '系統', '人員', '組織', '經費', '專家', '發展', '維護', '設立', '分編', '常設性', '持續']
No.135:數位博物館使用行為分析：以輔仁大學織品服飾數位博物館為例, ['織品服飾數位博物館', '織品', '資料', '圖片', '博物館', '設計', '數位典藏', '學生', '需求', '要求', '資訊需求', '數位', '品質', '呈現', '內容', '符合', '服裝', '參與', '資訊尋求行為', '報章']
No.136:小學圖書館(室)在九年一貫課程中角色之探討, ['小學圖書館', '九年一貫課程', '個案', '教師', '經營', '因應', '國民', '小學', '教育', '文件', '最多', '問題', '唯一', '配合', '分佈', '現況', '角色', '受限', '台北', '當局']
No.137:臺北縣地方文史工作室角色及營運之探討, ['文史', '工作室', '地方文史工作室', '地方文獻', '當地', '鄉鎮圖書館', '公共圖書館', '臺北縣', '保存', '蒐集', '角色', '地方', '扮演', '整理', '瞭解', '什麼', '合作', '記錄', '過程', '地方文史工作者']
No.138:從資訊科技融入教學的議題探討台北縣國民中學教師之資訊尋求行為, ['教師', '資訊科技', '資訊科技融入教學', '國民中學教師', '台北縣', '資源', '縣立', '教學', '資訊尋求行為', '研習', '尋求', '扮演', '中學', '教育界', '樂於', '請求', '選擇性', '圖書館', '國中', '豐富性']
No.139:音樂內容檢索系統之使用者研究, ['音樂內容檢索系統', '音樂', '旋律', '輸入', '符號', '音樂資料', '文字', '使用者研究', '特徵', '設計', '形式', '查詢', '整體', 'themefinder', '作人', '優美', '哼唱', '愛樂', '曲調', '概略']
No.140:需求取向之高中圖書館讀者服務規劃：以生命教育相關資訊為例, ['高中圖書館', '生命教育', '圖書館讀者服務規劃', '讀者服務', '需求取向', '高中', '規劃', '使用者', '原理', '功能', '基本', '滿足', '需求', '學校圖書館', '原則', '定位', '因素', '學科', '實例', '取向']
No.141:數位學習環境下學生特質與電腦態度分析, ['數位學習', '電腦態度', '學生', '不同', '顯著', '電腦', '差異', '學系', '反應', '系統', '就讀', '長短', '經驗', '信心', '使用', '性別', '層面', '特質', '台北', '藝術']
No.142:由支援教學功能探討高中圖書館協助法治教育推展之道, ['法治教育', '支援教學', '法治', '課程', '高中圖書館', '教學', '推展', '規劃', '教師', '學校圖書館', '圖書資訊學研究', '任務', '讀者服務', '合宜', '校園', '問題', '學科', '協助', '實施', '做法']
No.143:四十年來臺灣圖書資訊學碩士論文研究主題之析論, ['圖書資訊學', '碩士論文', '圖書資訊', '主題', '主題詞', '主題分析', '圖書資訊學研究', '綜論', '臺灣', '服務', '論文', '核心', '最多', '成果', '九成五', '博物館學', '圖資所', '堅實', '學年', '學術文獻']
No.144:公共圖書館讀者服務館員工作倦怠之研究—以臺北市立圖書館為例, ['工作倦怠', '讀者服務館員', '工作環境', '館員', '組織承諾', '程度', '公共圖書館', '臺北市立圖書館', '相關', '呈現', '顯著', '特質', '壓力', '個人', '工作', '中度', '交互作用', '人性化', '已婚', '文明']
No.145:大學圖書館線上電子書服務使用之需求研究, ['電子書', '線上電子書', '學生', '閱讀', '大學圖書館', '偏好', '線上公用目錄', '使用', '館藏', '原因', '同步', '希望', '圖書館', '使用需求', '檢索', '開發', '需求', '方便', '讀者', '紙本']
No.146:國中生課外閱讀之研究, ['課外閱讀', '閱讀', '國中生', '從事', '國中', '學生', '師長', '平均', '不同', '國小', '時期', '階段', '型態', '時間', '顯著', '過渡', '同儕', '課業', '影響', '差異']
No.147:文件自我擴展於自動分類之應用, ['自動分類', '文件', '文件自我擴展', '電子化', '運用', '文件自動化處理', '演算法學習', '使用者', '資訊', '技術', '系統', '分類', '提供', '處理', '切截', '救命', '明燈', '查檢到', '海潮', '湧入']
No.148:查詢擴展之詞彙篩選應用於主題檢索之研究, ['擴展', '成效', '檢索', '詞彙', '篩選', '查詢擴展', '局域', '主題', '描述', '共現索引典', '關聯詞', '人工', '查詢', '自動化', '實驗', '穩固', '查詢詞', '證實', '方式', '幫助']
No.149:國際貿易人員資訊行為之研究, ['國際貿易人員', '國際貿易', '貿易', '公司', '資訊取得途徑', '市場', '企業', '資訊', '資訊行為', '經貿', '業界', '性質', '產業', '廠商', '資訊需求', '交易', '商展', '網際網路', '往來', '洞悉']
No.150:輔仁大學圖書館服務品質研究：LIBQUAL+(TM)之運用實證, ['服務品質', '讀者', '圖書館服務品質量表', '成果', '狀態', '身份', '取用性', 'libqual', 'tm', '實證', '資訊', '因素', '圖書館評估研究', '圖書館服務', '論文', '資源', '運用', '學會', '相關性', '圖書館']
No.151:公共圖書館學齡前兒童及家長服務之調查研究, ['學齡前兒童', '家長', '公共圖書館', '兒童', '服務', '兒童圖書館員', '國內', '加強', '階段', '培養', '圖書館', '不足', '問題', '閱讀', '受到', '先進', '公立', '分齡', '可塑性', '合計為']
No.152:大學生對圖書館利用教育實施態度之研究―以國立政治大學文學院大學部學生為例, ['圖書館利用教育', '學生', '態度', '大學生', '課程', '利用', '文學院', '教育', '政治', '大學部', '大學', '大學圖書館', '國立', '圖書館', '對象', '背景', '具備有', '上課', '收到', '橋樑']
No.153:土木工程及地球科學研究生政府資訊之使用研究, ['政府資訊', '研究生', '政府', '土木工程', '地球科學', '中央', '公開', '取用', '單位', '使用', '國營', '困難', '地方', '報告', '流通', '取得', '事業', '類別', '資訊', '原因']
No.154:公共圖書館讀者使用動機之性別差異分析─以臺北市立圖書館總館為例, ['使用動機', '讀者', '公共圖書館', '性別', '男性', '民眾', '女性', '職業', '具有', '影響性', '性別差異', '樣本', '成人讀者', '差異', '顯著', '學歷', '總館', '利用', '臺北市立圖書館', '不同']
No.155:以Big6資訊素養教學融入國小社會領域之個案研究, ['big6', '資訊素養', '社會領域', '國小', '資訊', '學童', '強調', '教學', '融入', '能力', '個案', '推動', '圖書館利用教育', '學生', '結合', 'berkowitz', 'eisenberg', '公民', '師資培育', '拋掉']
No.156:大學生紙本式與電子式課外閱讀研究, ['電子式閱讀', '紙本式', '課外閱讀', '大學生', '閱讀', '電子式', '頻率', '知識', '紙本', '媒體', '進行', '紙本式閱讀', '並存', '二十一世紀', '學制', '書刊', '以往', '正規', '間部', '閱讀動機']
No.157:兒童使用台北市立圖書館兒童版網站之研究, ['兒童', '網站', '全球資訊網', '台北市立圖書館', '使用', '族群', '考量', '反應', '提供', '動畫', '去蕪存菁', '適中', '難易', '需求', '公共圖書館', '兒童網站', '圖片', '觀感', '顯示', '網站設計']
No.158:中文互動式檢索輔助功能之效益評估-以關聯提示詞為例, ['提示詞', '關聯', '檢索', '關聯詞', '互動式檢索', '文件量', '功能', '提示', '圖示', '實驗', '可用性', '方面', '品質', '評估', '使用評估', '結果', '大小', '輔助', '系統', '使用者滿意度']
No.159:數位學習管理系統評鑑指標之研究, ['數位學習管理系統', '評鑑指標', '數位學習', '評鑑', '專家', '推動', 'delphi', '博意', '回合', '廣徵', '疊慧', '疊慧法', '人員', '大學', 'method', '事件', '保留', '教職員', '設計成', '成為']
No.160:由認知、情感與實體層面探討大學生之全球資訊網搜尋行為, ['搜尋', '大學生', '全球資訊網', '情感', '使用者', '層面', '答案', '行為', '搜尋引擎', '實體', '搜尋到', '網路搜尋行為', '認知', '任務', '特定', '蒐集', '連結', '資訊', '資料', '網路使用']
No.161:小學生使用公共圖書館漫畫館藏之研究—以「臺北市立圖書館中崙分館」為例, ['漫畫', '中崙分館', '小學生', '漫畫館藏', '家長', '臺北市立圖書館', '讀物', '閱讀', '回應', '表示', '館員', '圖書館', '讀者', '豐富', '經營', '提供', '正當', '老少咸宜', '謹慎', '公共圖書館']
No.162:美國學校圖書館媒體中心支援教學之研究, ['美國', '學校圖書館媒體中心', '媒體', '教學', '夥伴', '支援教學', '專家', '標準', '學校圖書館', '融入課程', '教師', '資訊素養', '學校', '課程', '計畫', '圖書館', '學校圖書館媒體專家', '學生', '教育', '媒體中心']
No.163:地質資料顧客服務模式建立之研究, ['地質資料', '顧客服務', '地質', '顧客服務模式', '顧客服務品質衡量構面', '顧客服務管理', '顧客服務體系', '模式', '顧客', '建立', '大眾', '構面', '改進', '知識', '項目', '張示', '新思維', '期望值', '認知值', '技術']
No.164:問題取向的大學圖書館連續性資源管理研究, ['連續性資源', '問題', '管理', '問題取向', '大學圖書館', '思考', '期刊', '面臨', '資訊', '叢生', '學術傳播', '解決', '組織', '知識管理', '當前', '方案', '決策', '產品', '執行', '流程']
No.165:網路時代社會科學研究者使用政府資訊之探討, ['政府資訊', '社會科學研究者', '政府網站', '寄存', '政府', '取得', '網路', '公開', '政府出版品', '社會科學', '資訊', '提昇', '使用', '政治', '統計', '公報', '機密', '灰色文獻', '時代', '圖書館']
No.166:我國私立大學文獻傳遞服務實證調查傳遞時間之研究, ['傳遞時間', '申請', '館際互借', '傳遞方法', '私立', '文獻類型', 'anova', 'interlibrary', 'loan', 'requests', '外來', '檢驗', '申請順位', '私立大學', '文獻傳遞服務', '顯著性', '我國', '大學圖書館', '做為', 'borrowing']
No.167:網路化圖書館利用學習系統互動性需求分析, ['互動', '學習', '工具', '圖書館利用指導', '網路', '網路化', '進行', '學生', '使用者', '提供', '允許', '聊天', '諮詢區', '網際網路', '網路學習', '線上學習', '互動學習', '平常', '課程', '存取']
No.168:電子時代大學圖書館經營中著作權合理使用之研究, ['著作權', '合理使用', '著作權法', '大學圖書館', '經營', '時代', '重製', '政策', '電子', '保護', '傳輸', '圖書館經營', '國內', '依據', '數位', '問題', '產生', '並行', '公共領域', '前所未有']
No.169:圖資系畢業生在企業知識管理上扮演的角色, ['知識管理', '畢業生', '課程', '圖資系', '企業', '圖書資訊學', '圖書館員', '從事', '方向', '多數', '許多', '這些', '偏廢', '實做', '心力', '應付', '提起', '訪用', '變成為', '附屬於']
No.170:輔仁大學餐旅管理學系學生之資訊需求與資訊尋求行為, ['餐旅管理學系學生', '資訊需求', '學生', '餐旅', '資訊尋求行為', '資源', '輔仁大學', '不均', '學科性', '旅館學', '營養學', '管理學', '管理系', '觀光學', '關切', '食品', '圖書館', '多樣性', '少見', '餐飲']
No.171:我國公共圖書館參與社區總體營造理念研究, ['社區', '社區總體營造', '公共圖書館', '參與', '我國', '社會', '居民', '社區資源', '理念', '事務', '經營', '總體', '發展', '發揮', '評鑑', '意義', '整合', '層面', '實施', '主導']
No.172:大學圖書館專題選粹服務之現況與使用者調查研究, ['專題選粹服務', '使用者', '檢索', '興趣檔', '調查', '實施', '國立中央大學圖書館', '條件', '登錄', '服務', '個人化', '填答', '訂定', '表示', '希望', '重視', '圖書館', '大學圖書館', '傳送', '篇名']
No.173:圖書館兒童網頁之規劃與施行, ['兒童', '網頁', '成人', '圖書館', '功能', '查詢', '規劃', '以為', 'webpac', '施行', '國外', '設計', '習慣', '兒童數位圖書館', '抉擇', '有別', '百科', '線上服務', '公告', '圖書館兒童網站']
No.174:影像內容檢索系統之使用研究, ['影像', '影像內容檢索', '檢索', '影像檢索', '系統', '研發', '資料', '未來', '使用者', '進行', '觀察', 'ibm', 'qbic', '形狀', '影像檢索策略', '影像資訊尋求', '影像資訊需求', '數位靜態影像', '空間關係', '紋理']
No.175:醫學院暨生命科學院研究生生物醫學電子期刊之使用研究, ['電子期刊', '生物', '研究生', '醫學', '生命科學院', '醫學院', '使用', '期刊', '速度', '紙本式', '存取', '加快', '電子式', '付費', '更新', '傳播', '資訊', '呈現', '使用者', '方面']
No.176:小學自然學科資源式教學個案, ['自然教師', '資源式教學', '教師', '教學', '資源', '學習資源中心', '自然學科', '小學圖書館', '觀察', '小學', '融入', '專家', '個案', '缺乏', '學生', '媒體', '支援', '協助', '協同教學', '參與式']
No.177:多媒體線上百科全書介面設計對使用狀況之影響─以GrolierMultimediaEncyclopediaOnline為例, ['線上百科全書', '多媒體', '百科全書', '介面', 'gmeol', 'online', '使用者', '紙本', '閱讀', '融合', '具有', '使用', '操作', '設計', '觀察', 'encyclopedia', 'grolier', 'groliermultimediaencyclopedia', 'multimedia', '剪輯']
No.178:鄉鎮圖書館從業人員對知識自由之態度研究, ['知識自由', '鄉鎮圖書館', '從業', '人員', '態度', '背景', '教育訓練', '倫理規範', '市公所', '提醒', '暢通無阻', '用意', '縣轄', '做出', '現況', '供應', '回歸', '接近', '某些', '問卷']
No.179:文件自動分類及其成效評估之研究, ['自動分類', '文件', 'knn分類法', '分類', '實驗', '運算', '向量模式', '文件自動分類', '成效', '方法', '評估', 'algorithm', 'function', 'knn', 'linear', 'nearest', 'neighbor', 'rocchio', '分類好', '取自']
No.180:我國學位論文數位化共建共享之研究, ['學位論文', '學位論文數位化', '共建共享', '研究生', '公開', '上網', '作業', '授權', '轉檔', '推動', '論文', '檔案', '宣導', '願意', '保全', '授權給', '提交', '著作授權', '圖書館', '建檔']
No.181:公共圖書館館員繼續教育需求之研究, ['繼續教育', '公共圖書館館員', '館員', '參與', '技能', '公共圖書館', '參加', '辦理', '主辦', '研習班', '訓練', '適合', '需求', '研討會', '中心', '單位', '主要', '負擔', '知識', '認為']
No.182:我國綜合證券商研究人員資訊尋求行為研究, ['證券', '投資', '人員', '公司', '證券投資研究', '資訊', '證券商', '工作', '我國', '集團', '綜合', '來源', '內部', '判斷', '電子', '資料庫', '領域', '理財', '人脈', '加強']
No.183:《藝文類聚》研究, ['藝文類聚', '類書', '型式', '解說', '思想', '儒家思想', '子目', '蘊含', '部類', '說明', '現存', '後世', '闡述', '類目', '索引', '價值', '事例', '事文', '分類思想', '參見']
No.184:工程顧問公司圖書館館藏發展之研究, ['工程顧問', '公司圖書館', '公司', '館藏發展', '同仁', '機構', '中興', '圖書室', '公司圖書館館藏發展', '服務', '文件', '工程師', '方針', '館藏', '政策', '目標', '社群', '達成', '數位', '經費']
No.185:國立臺北藝術大學圖書館館藏使用研究, ['館藏', '藝術', '臺北', '國立', '讀者', '大學圖書館', '使用', '資料', '藝術圖書館', '流通', '類號', '使用研究', '類型', '大學', '記錄', '瞭解', '館際合作', '單科', '流通分析', '申請單']
No.186:國防大學中正理工學院研究生使用圖書館參考服務之研究, ['研究生', '軍事', '理工', '院校', '中正', '參考服務', '圖書館', '軍事圖書館', '學院', '圖書館網站', '國防', '資料庫', '館際合作', '參考室', '參考書', '電子', '辭典', '館藏', '參考', '申請']
No.187:網路資源使用之資訊超載現象--以輔仁大學管理學院研究生為例, ['資訊超載', '管理學院研究生', '研究生', '資訊', '使用', '網路', '工具', '搜尋引擎', '情形', '檢索', '現象', '應用', '出現', '觀念', '資訊檢索', '顯著', '問題', '輔仁大學', 'agents', 'intelligent']
No.188:非同步教學課程學生之資訊尋求行為研究, ['同步', '課程', '學生', '教學', '網頁', '網路學習', '資訊尋求行為', '資源', '網路', '利用', '這些', '土木系', '非同步網路教學', '途徑', '圖書館', '資料', '修習', '圖資系', '院校', '提供']
No.189:綠建築觀念在圖書館之應用, ['綠建築', '綠色圖書館', '建築', '圖書館', '觀念', '環境', '從業', '環保', '建築界', '設計', '人員', '理念', '應用', '國內外', '規劃', '建築師', '構想', '特性', '建築物', '國內']
No.190:問題導向學習與醫學生資訊素養之探討, ['pbl', '陽明', '學習', '醫學', '資訊', '資訊素養', '問題導向學習', '醫學生', '醫學系學生', '學生', '醫學院', 'pbl學生', '大學', '臨床', '問題', '課程', '提昇', '資源', '界定', '解決']
No.191:輔仁大學文學院學生資訊素養之研究, ['文學院', '資訊素養', '學生', '素養', '輔仁大學', '層面', '不同', '相關性', '優於', '科系', '經驗', '學習', '具備', '網路', '顯著', '有所', '電腦', '媒體', '背景', '講授']
No.192:資訊素養在高中國文科教學中的應用研究, ['資訊素養', '學生', '高中', '學習', '接收', '教學', '準備', '時代', '判斷', '大學', '接受', '作業', '資訊', '中和', '國文', '國文課', '圖書資訊資源利用教學', '文科', '準實驗法', '預備']
No.193:輔仁大學學生視聽資料需求個案探討, ['視聽', '視聽資料', '媒體', '學生', '播放', '學院', '需求', '老師', '使用', '中心', '最多', '服務', '偏重', '電影', '音樂', '影片', '課堂', '休閒', '數位化', '個案']
No.194:中文OCR文件檢索測試集之製作與應用, ['ocr文件', '檢索', '測試集', '文件', '判斷', 'groundtruth', '文件組', '查詢', '成效', 'gram', '影像集', '單元', '影像', '主題', '研究者', '實驗', '應用', '中文', '相關', '策略']
No.195:以個案觀察小學圖書館利用教育與教育改革的因應, ['小學', '圖書館利用教育', '觀察', '小學圖書館', '教育改革', '學童', '學校', '實驗', '有限', '利用', '知識', '學習', '佐以', '現階段', '教師', '配合', '在於', '剖析', '徵求', '高年']
No.196:大學生視聽資料之使用研究, ['視聽資料', '大學生', '視聽', '部份', '圖書館使用', '使用', '主要', '西洋', '服務', '大學圖書館', '告知', '打發', '生活', '朋友', '最多', '問卷', '發出', '喜歡', '影片', '同學']
No.197:公共圖書館網站介面評估--以台灣地區縣(市)級以上圖書館為例, ['使用性', '公共圖書館網站', '圖書館網站', '評估', '網站', '介面', '圖書館', '設計', '台灣', '準則', '地區', '文化局', '澎湖縣', '花蓮縣', '公共圖書館', '原則', '論文', '網站設計', '調查法', '期望']
No.198:台灣總督府圖書館館藏政策之研究, ['館藏政策', '台灣總督府圖書館', '台灣', '日本', '館藏', '圖書館', '日據', '館藏發展', '時期', '當時', '文庫', '分析出', '著手', '闡述', '政府', '地區', '圖書館經營', '成立', '目錄', '政策']
No.199:公共圖書館使用者對電子資源需求及尋求行為研究--以台北市立圖書館為例, ['電子資源', '使用者', '館藏', '公共圖書館', '公共圖書館使用者', '數位化', '圖書館', '管道', '使用', '資料庫', '檢索', '資源', '半數', '紙本式', '資訊尋求', '尋求', '行為', '提供', '台北市立圖書館', '意願']
No.200:輔仁大學進修部學生圖書館使用之研究, ['非傳統學生', '進修部', '學生', '輔大', '圖書館', '開放', '利用', '大學', '成人教育', '時間', '夜間', '成人學生', '白天', '前往', '影響', '行為', '感到', '特性', '終身學習', '電子資源']
No.201:健保資訊資源的使用研究－以健保局行政人員和健保研究人員為例, ['健保', '健康保險', '人員', '從業', '行政', '中央', '業務', '資訊', '全民', '研發', '圖書館', '相關', '衛生', '革新', '資訊需求', '資訊使用', '致力', '資源', '醫療', '增加']
No.202:臺灣地區佛教圖書館發展之研究, ['佛教圖書館', '佛教', '臺灣', '寺院藏書', '發展', '筆者', '臺灣佛教', '時期', '呈現出', '近代', '民國', '佛學教育', '論文', '經營', '論述', '促使', '典藏', '歷程', '古代', '我國']
No.203:臺灣佛教女性出家眾資訊尋求行為之探討, ['佛教圖書館', '佛教女性出家眾', '她們', '利用', '出家眾', '女性', '網路', '差異', '執事僧', '學問', '身分', '資訊尋求行為', '佛教', '問卷', '明顯', '資訊需求', '出家', '很多', '臺灣', '圖書館']
No.204:裕隆汽車公司圖書館之利用研究, ['公司圖書館', '裕隆汽車', '利用', '亞洲', '裕隆', '圖書館', '工程師', '資訊', '人員', '圖書館利用', '中心', '肯定', '相關', '資源', '情形', '許多', '建議', '公司圖書館員', '兼辦', '同行']
No.205:《道藏》研析, ['道藏', '經典', '道教', '編纂', '分類法', '道教經典', '時代', '編撰', '典籍', '科學', '初步', '變遷', '介紹', '意義', '主題', '出版', '不同', '傳統', '三洞四輔十二類分類法', '先生']
No.206:圖書館自動化系統權威控制功能之探討, ['權威控制', '控制詞彙', '自動化', '系統', '圖書館自動化系統', '控制', '檢索', '詞彙', '非控制詞彙', '功能', '中文', '權威檔', '加強', '了解', '館員', '設計', '查詢', '使用者', '重要性', '不盡相同']
No.207:光碟資料庫介面使用研究, ['資料庫', '檢索', '介面', '光碟資料庫', '使用者', '使用', '設計', '喜好', '了解', '使用者介面', '傾向', '接受', '使用研究', '系統', '直接', '說明', '經驗', '重點', '看法', '具有']
